,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Table 5: Gender Inequality Index,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Gender Inequality Index,,,,Maternal mortality ratio,,Adolescent birth rate,,Share of seats in parliament,,Population with at least some secondary education,,,,Labour force participation rate ,,,a
,,,,,,,,,,,,(% ages 25 and older),,,,(% ages 15 and older),,,
,,Value,,Rank,,"(deaths per100,000 live births)",,"(births per 1,000 women ages 15–19)",,(% held by women),,Female,,Male,,Female,,Male,
,Country,2014,,2014,,2013,,2010/2015,b,2014,,2005–2014,c,2005–2014,c,2013,,2013,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
1,Norway,0.067,,9,,4,,7.8,,39.6,,97.4,,96.7,,61.2,,68.7,
2,Australia,0.110,,19,,6,,12.1,,30.5,,94.3,d,94.6,d,58.8,,71.8,
3,Switzerland,0.028,,2,,6,,1.9,,28.5,,95.0,,96.6,,61.8,,74.9,
4,Denmark,0.048,,4,,5,,5.1,,38.0,,95.5,e,96.6,e,58.7,,66.4,
5,Netherlands,0.062,,7,,6,,6.2,,36.9,,87.7,,90.5,,58.5,,70.6,
6,Germany,0.041,,3,,7,,3.8,,36.9,,96.3,,97.0,,53.6,,66.4,
6,Ireland,0.113,,21,,9,,8.2,,19.9,,80.5,,78.6,,53.1,,68.1,
8,United States,0.280,,55,,28,,31.0,,19.4,,95.1,,94.8,,56.3,,68.9,
9,Canada,0.129,,25,,11,,14.5,,28.2,,100.0,,100.0,,61.6,,71.0,
9,New Zealand,0.157,,32,,8,,25.3,,31.4,,95.0,,95.3,,62.0,,73.8,
11,Singapore,0.088,,13,,6,,6.0,,25.3,,74.1,,81.0,,58.8,,77.2,
12,"Hong Kong, China (SAR)",..,,..,,..,,3.3,,..,,72.2,,79.2,,51.3,,67.8,
13,Liechtenstein,..,,..,,..,,..,,20.0,,..,,..,,..,,..,
14,Sweden,0.055,,6,,4,,6.5,,43.6,,86.5,,87.3,,60.3,,67.9,
